year mon co2 date
1975 1 NaN 1975.042
1975 2 NaN 1975.125
1975 3 NaN 1975.208
1975 4 NaN 1975.292
1975 5 NaN 1975.375
1975 6 NaN 1975.458
1975 7 NaN 1975.542
1975 8 NaN 1975.625
1975 9 NaN 1975.708
1975 10 NaN 1975.792
1975 11 329.89 1975.875
1975 12 329.73 1975.958
1976 1 329.44 1976.042
1976 2 329.21 1976.125
1976 3 329.06 1976.208
1976 4 329.04 1976.292
1976 5 329.1 1976.375
1976 6 329.33 1976.458
1976 7 329.69 1976.542
1976 8 330.13 1976.625
1976 9 330.48 1976.708
1976 10 330.52 1976.792
1976 11 330.61 1976.875
1976 12 330.63 1976.958
1977 1 330.29 1977.042
1977 2 331.11 1977.125
1977 3 330.95 1977.208
1977 4 331.01 1977.292
1977 5 331.13 1977.375
1977 6 331.35 1977.458
1977 7 331.63 1977.542
1977 8 331.98 1977.625
1977 9 332.33 1977.708
1977 10 332.63 1977.792
1977 11 332.59 1977.875
1977 12 332.31 1977.958
1978 1 332.06 1978.042
1978 2 331.92 1978.125
1978 3 331.94 1978.208
1978 4 332.3 1978.292
1978 5 332.85 1978.375
1978 6 333.41 1978.458
1978 7 333.82 1978.542
1978 8 334.41 1978.625
1978 9 334.69 1978.708
1978 10 334.7 1978.792
1978 11 334.53 1978.875
1978 12 NaN 1978.958
1979 1 NaN 1979.042
1979 2 NaN 1979.125
1979 3 NaN 1979.208
1979 4 NaN 1979.292
1979 5 NaN 1979.375
1979 6 NaN 1979.458
1979 7 NaN 1979.542
1979 8 NaN 1979.625
1979 9 NaN 1979.708
1979 10 NaN 1979.792
1979 11 NaN 1979.875
1979 12 NaN 1979.958
1980 1 336.14 1980.042
1980 2 335.95 1980.125
1980 3 336.02 1980.208
1980 4 336.22 1980.292
1980 5 336.58 1980.375
1980 6 336.93 1980.458
1980 7 337.37 1980.542
1980 8 337.65 1980.625
1980 9 337.89 1980.708
1980 10 338.08 1980.792
1980 11 338.03 1980.875
1980 12 338.09 1980.958
1981 1 337.85 1981.042
1981 2 337.8 1981.125
1981 3 337.89 1981.208
1981 4 337.91 1981.292
1981 5 338.06 1981.375
1981 6 338.33 1981.458
1981 7 338.75 1981.542
1981 8 338.95 1981.625
1981 9 339.23 1981.708
1981 10 339.1 1981.792
1981 11 338.91 1981.875
1981 12 338.59 1981.958
1982 1 339.21 1982.042
1982 2 339.17 1982.125
1982 3 339.12 1982.208
1982 4 339.31 1982.292
1982 5 339.62 1982.375
1982 6 339.65 1982.458
1982 7 340.04 1982.542
1982 8 340.36 1982.625
1982 9 340.66 1982.708
1982 10 340.63 1982.792
1982 11 340.42 1982.875
1982 12 340.04 1982.958
1983 1 339.78 1983.042
1983 2 339.71 1983.125
1983 3 339.79 1983.208
1983 4 340.16 1983.292
1983 5 NaN 1983.375
1983 6 341.03 1983.458
1983 7 341.28 1983.542
1983 8 341.95 1983.625
1983 9 342.12 1983.708
1983 10 342.24 1983.792
1983 11 342.31 1983.875
1983 12 342.21 1983.958
1984 1 342.05 1984.042
1984 2 342 1984.125
1984 3 341.79 1984.208
1984 4 341.87 1984.292
1984 5 342.03 1984.375
1984 6 342.23 1984.458
1984 7 342.65 1984.542
1984 8 343.19 1984.625
1984 9 343.5 1984.708
1984 10 343.66 1984.792
1984 11 343.5 1984.875
1984 12 343.28 1984.958
1985 1 343.17 1985.042
1985 2 343.01 1985.125
1985 3 342.89 1985.208
1985 4 343.05 1985.292
1985 5 343.37 1985.375
1985 6 343.71 1985.458
1985 7 344.2 1985.542
1985 8 344.68 1985.625
1985 9 344.92 1985.708
1985 10 344.95 1985.792
1985 11 345 1985.875
1985 12 344.75 1985.958
1986 1 344.71 1986.042
1986 2 344.61 1986.125
1986 3 344.54 1986.208
1986 4 344.58 1986.292
1986 5 344.78 1986.375
1986 6 345.07 1986.458
1986 7 345.53 1986.542
1986 8 345.91 1986.625
1986 9 346.19 1986.708
1986 10 346.41 1986.792
1986 11 346.15 1986.875
1986 12 345.96 1986.958
1987 1 345.89 1987.042
1987 2 345.74 1987.125
1987 3 345.71 1987.208
1987 4 345.87 1987.292
1987 5 346.08 1987.375
1987 6 346.61 1987.458
1987 7 347.1 1987.542
1987 8 347.62 1987.625
1987 9 348.1 1987.708
1987 10 348.29 1987.792
1987 11 348.35 1987.875
1987 12 348.34 1987.958
1988 1 348.13 1988.042
1988 2 348.09 1988.125
1988 3 348.17 1988.208
1988 4 348.37 1988.292
1988 5 348.39 1988.375
1988 6 348.63 1988.458
1988 7 349.03 1988.542
1988 8 349.52 1988.625
1988 9 349.83 1988.708
1988 10 349.93 1988.792
1988 11 349.85 1988.875
1988 12 349.68 1988.958
1989 1 349.85 1989.042
1989 2 349.84 1989.125
1989 3 349.78 1989.208
1989 4 349.89 1989.292
1989 5 350.11 1989.375
1989 6 350.41 1989.458
1989 7 350.78 1989.542
1989 8 351.22 1989.625
1989 9 351.32 1989.708
1989 10 351.38 1989.792
1989 11 351.55 1989.875
1989 12 351.18 1989.958
1990 1 351.04 1990.042
1990 2 350.76 1990.125
1990 3 350.86 1990.208
1990 4 350.94 1990.292
1990 5 351.37 1990.375
1990 6 351.79 1990.458
1990 7 352.28 1990.542
1990 8 352.62 1990.625
1990 9 352.82 1990.708
1990 10 352.87 1990.792
1990 11 352.89 1990.875
1990 12 352.49 1990.958
1991 1 352.41 1991.042
1991 2 352.14 1991.125
1991 3 351.88 1991.208
1991 4 352.09 1991.292
1991 5 352.34 1991.375
1991 6 352.67 1991.458
1991 7 353.08 1991.542
1991 8 353.48 1991.625
1991 9 353.62 1991.708
1991 10 353.64 1991.792
1991 11 353.86 1991.875
1991 12 353.73 1991.958
1992 1 353.45 1992.042
1992 2 353.2 1992.125
1992 3 353.1 1992.208
1992 4 353.42 1992.292
1992 5 353.79 1992.375
1992 6 354.19 1992.458
1992 7 354.64 1992.542
1992 8 355.02 1992.625
1992 9 355.24 1992.708
1992 10 355.29 1992.792
1992 11 355.12 1992.875
1992 12 354.86 1992.958
1993 1 354.61 1993.042
1993 2 354.39 1993.125
1993 3 354.23 1993.208
1993 4 354.34 1993.292
1993 5 354.48 1993.375
1993 6 354.76 1993.458
1993 7 355.28 1993.542
1993 8 355.73 1993.625
1993 9 355.96 1993.708
1993 10 355.95 1993.792
1993 11 355.92 1993.875
1993 12 355.7 1993.958
1994 1 355.6 1994.042
1994 2 355.54 1994.125
1994 3 355.58 1994.208
1994 4 355.65 1994.292
1994 5 355.79 1994.375
1994 6 356.07 1994.458
1994 7 356.49 1994.542
1994 8 357.29 1994.625
1994 9 357.68 1994.708
1994 10 357.72 1994.792
1994 11 357.68 1994.875
1994 12 357.55 1994.958
1995 1 357.38 1995.042
1995 2 357.38 1995.125
1995 3 357.57 1995.208
1995 4 357.56 1995.292
1995 5 357.79 1995.375
1995 6 358.03 1995.458
1995 7 358.5 1995.542
1995 8 358.92 1995.625
1995 9 359.24 1995.708
1995 10 359.43 1995.792
1995 11 359.52 1995.875
1995 12 359.54 1995.958
1996 1 359.42 1996.042
1996 2 359.38 1996.125
1996 3 359.34 1996.208
1996 4 359.37 1996.292
1996 5 359.53 1996.375
1996 6 359.75 1996.458
1996 7 360.18 1996.542
1996 8 360.59 1996.625
1996 9 360.71 1996.708
1996 10 360.76 1996.792
1996 11 360.76 1996.875
1996 12 360.73 1996.958
1997 1 360.6 1997.042
1997 2 360.44 1997.125
1997 3 360.48 1997.208
1997 4 360.73 1997.292
1997 5 360.89 1997.375
1997 6 361.24 1997.458
1997 7 361.54 1997.542
1997 8 361.86 1997.625
1997 9 362.19 1997.708
1997 10 362.27 1997.792
1997 11 362.39 1997.875
1997 12 362.41 1997.958
1998 1 362.33 1998.042
1998 2 362.47 1998.125
1998 3 362.53 1998.208
1998 4 362.85 1998.292
1998 5 363.18 1998.375
1998 6 363.67 1998.458
1998 7 364.17 1998.542
1998 8 364.78 1998.625
1998 9 365.09 1998.708
1998 10 365.14 1998.792
1998 11 365.15 1998.875
1998 12 365.08 1998.958
1999 1 365.02 1999.042
1999 2 364.95 1999.125
1999 3 364.85 1999.208
1999 4 365.02 1999.292
1999 5 365.23 1999.375
1999 6 365.55 1999.458
1999 7 365.88 1999.542
1999 8 366.27 1999.625
1999 9 366.53 1999.708
1999 10 366.66 1999.792
1999 11 366.77 1999.875
1999 12 366.69 1999.958
2000 1 366.53 2000.042
2000 2 366.37 2000.125
2000 3 366.29 2000.208
2000 4 366.36 2000.292
2000 5 366.48 2000.375
2000 6 366.78 2000.458
2000 7 367.22 2000.542
2000 8 367.71 2000.625
2000 9 367.91 2000.708
2000 10 367.92 2000.792
2000 11 367.84 2000.875
2000 12 368.08 2000.958
2001 1 367.92 2001.042
2001 2 367.64 2001.125
2001 3 367.57 2001.208
2001 4 367.84 2001.292
2001 5 368.1 2001.375
2001 6 368.36 2001.458
2001 7 368.79 2001.542
2001 8 369.29 2001.625
2001 9 369.62 2001.708
2001 10 369.87 2001.792
2001 11 369.91 2001.875
2001 12 369.71 2001.958
2002 1 369.57 2002.042
2002 2 369.48 2002.125
2002 3 369.52 2002.208
2002 4 369.78 2002.292
2002 5 370.04 2002.375
2002 6 370.44 2002.458
2002 7 370.94 2002.542
2002 8 371.46 2002.625
2002 9 371.89 2002.708
2002 10 372.06 2002.792
2002 11 372.02 2002.875
2002 12 371.91 2002.958
2003 1 371.98 2003.042
2003 2 371.89 2003.125
2003 3 371.99 2003.208
2003 4 372.14 2003.292
2003 5 372.47 2003.375
2003 6 372.8 2003.458
2003 7 373.24 2003.542
2003 8 373.81 2003.625
2003 9 374.11 2003.708
2003 10 374.13 2003.792
2003 11 374.01 2003.875
2003 12 374.01 2003.958
2004 1 374.05 2004.042
2004 2 373.86 2004.125
2004 3 374.06 2004.208
2004 4 374.19 2004.292
2004 5 374.39 2004.375
2004 6 374.76 2004.458
2004 7 375.07 2004.542
2004 8 375.58 2004.625
2004 9 375.74 2004.708
2004 10 375.72 2004.792
2004 11 375.68 2004.875
2004 12 375.65 2004.958
2005 1 375.61 2005.042
2005 2 375.25 2005.125
2005 3 375.43 2005.208
2005 4 375.62 2005.292
2005 5 376.06 2005.375
2005 6 376.58 2005.458
2005 7 377.09 2005.542
2005 8 377.61 2005.625
2005 9 377.88 2005.708
2005 10 377.96 2005.792
2005 11 377.91 2005.875
2005 12 377.91 2005.958
2006 1 377.92 2006.042
2006 2 377.65 2006.125
2006 3 377.8 2006.208
2006 4 377.91 2006.292
2006 5 378.17 2006.375
2006 6 378.41 2006.458
2006 7 378.76 2006.542
2006 8 379.23 2006.625
2006 9 379.48 2006.708
2006 10 379.59 2006.792
2006 11 379.55 2006.875
2006 12 379.56 2006.958
2007 1 379.51 2007.042
2007 2 379.48 2007.125
2007 3 379.47 2007.208
2007 4 379.81 2007.292
2007 5 380.13 2007.375
2007 6 380.48 2007.458
2007 7 380.89 2007.542
2007 8 381.32 2007.625
2007 9 381.67 2007.708
2007 10 381.8 2007.792
2007 11 381.81 2007.875
2007 12 381.82 2007.958
2008 1 381.78 2008.042
2008 2 381.74 2008.125
2008 3 381.88 2008.208
2008 4 381.99 2008.292
2008 5 382.09 2008.375
2008 6 382.39 2008.458
2008 7 382.94 2008.542
2008 8 383.34 2008.625
2008 9 383.59 2008.708
2008 10 383.7 2008.792
2008 11 383.63 2008.875
2008 12 383.5 2008.958
2009 1 383.49 2009.042
2009 2 383.28 2009.125
2009 3 383.31 2009.208
2009 4 383.46 2009.292
