date co2 co2dseas co2fit co2fitdseas n year mon
1996.038 NA NA 358.794 359.2912 0 1996 1
1996.123 NA NA 358.7192 359.3938 0 1996 2
1996.202 NA NA 358.8692 359.4899 0 1996 3
1996.287 NA NA 359.1834 359.5925 0 1996 4
1996.369 NA NA 359.4702 359.6919 0 1996 5
1996.454 NA NA 359.7659 359.7945 0 1996 6
1996.535 NA NA 360.1981 359.8938 0 1996 7
1996.62 NA NA 360.6055 359.9965 0 1996 8
1996.705 361.034 360.1125 360.7634 360.0991 4 1996 9
1996.787 361.0308 360.1888 360.7832 360.1984 2 1996 10
1996.872 361.0181 360.4126 360.6494 360.301 2 1996 11
1996.954 360.3892 360.2135 360.3174 360.4006 1 1996 12
1997.038 360.0988 360.3366 360.0074 360.505 1 1997 1
1997.123 360.2995 360.7152 359.9364 360.6113 2 1997 2
1997.2 360.5902 360.9564 360.084 360.7086 2 1997 3
1997.285 360.9076 361.0645 360.4042 360.8186 1 1997 4
1997.367 360.9725 360.9401 360.7052 360.9302 2 1997 5
1997.452 361.3532 361.1301 361.0222 361.0555 2 1997 6
1997.534 361.4792 360.9249 361.4894 361.191 2 1997 7
1997.619 362.0273 361.1661 361.9575 361.3506 3 1997 8
1997.704 362.2735 361.3551 362.1973 361.5327 2 1997 9
1997.786 362.5795 361.7411 362.3157 361.7301 1 1997 10
1997.871 362.3023 361.6988 362.3041 361.9543 2 1997 11
1997.953 362.2517 362.0804 362.1057 362.1882 2 1997 12
1998.038 362.2019 362.4455 361.9451 362.4427 1 1998 1
1998.123 362.4263 362.8479 362.0292 362.7041 2 1998 2
1998.2 362.583 362.9548 362.3163 362.9409 2 1998 3
1998.285 363.2092 363.3726 362.785 363.1994 2 1998 4
1998.367 363.5549 363.5297 363.2167 363.4417 3 1998 5
1998.452 363.9729 363.7573 363.6486 363.6818 2 1998 6
1998.534 364.545 363.9993 364.202 363.9035 3 1998 7
1998.619 364.8264 363.9732 364.7285 364.1217 2 1998 8
1998.704 365.1918 364.2818 364.9944 364.3298 1 1998 9
1998.786 365.2755 364.4447 365.1072 364.5215 3 1998 10
1998.871 365.3082 364.7133 365.0586 364.7087 2 1998 11
1998.953 365.0551 364.8919 364.7949 364.8774 2 1998 12
1999.038 364.8546 365.1059 364.5392 365.0367 2 1999 1
1999.123 365.0416 365.4706 364.5044 365.1793 2 1999 2
1999.2 365.0364 365.4153 364.6688 365.2934 2 1999 3
1999.285 365.3569 365.5264 364.9916 365.4059 3 1999 4
1999.367 365.4226 365.403 365.2799 365.5049 2 1999 5
1999.452 365.7757 365.5654 365.5688 365.602 2 1999 6
1999.534 366.1307 365.5897 365.994 365.6955 2 1999 7
1999.619 366.4268 365.5783 366.4027 365.7959 2 1999 8
1999.704 366.6353 365.7296 366.5673 365.9027 3 1999 9
1999.786 366.8034 365.9771 366.5981 366.0124 2 1999 10
1999.871 366.4227 365.8311 366.4797 366.1298 2 1999 11
1999.953 366.6551 366.4966 366.162 366.2445 2 1999 12
2000.038 366.3011 366.5562 365.8622 366.3594 2 2000 1
2000.123 366.1925 366.6248 365.7923 366.4669 2 2000 2
2000.202 366.3497 366.7285 365.9393 366.56 3 2000 3
2000.287 366.481 366.6486 366.2436 366.6527 2 2000 4
2000.369 366.6978 366.6785 366.5171 366.7388 2 2000 5
2000.454 367.1425 366.9316 366.7989 366.8275 2 2000 6
2000.535 367.1684 366.6247 367.2205 366.9163 2 2000 7
2000.62 367.9037 367.0573 367.6232 367.0141 3 2000 8
