year mon co2 date
1978 1 NaN 1978.042
1978 2 NaN 1978.125
1978 3 NaN 1978.208
1978 4 NaN 1978.292
1978 5 NaN 1978.375
1978 6 NaN 1978.458
1978 7 NaN 1978.542
1978 8 NaN 1978.625
1978 9 NaN 1978.708
1978 10 NaN 1978.792
1978 11 NaN 1978.875
1978 12 NaN 1978.958
1979 1 NaN 1979.042
1979 2 NaN 1979.125
1979 3 NaN 1979.208
1979 4 NaN 1979.292
1979 5 NaN 1979.375
1979 6 NaN 1979.458
1979 7 NaN 1979.542
1979 8 NaN 1979.625
1979 9 NaN 1979.708
1979 10 NaN 1979.792
1979 11 NaN 1979.875
1979 12 NaN 1979.958
1980 2 NaN 1980.125
1980 3 NaN 1980.208
1980 4 NaN 1980.292
1980 5 NaN 1980.375
1980 6 NaN 1980.458
1980 7 NaN 1980.542
1980 9 NaN 1980.708
1980 10 NaN 1980.792
1980 11 NaN 1980.875
1981 1 NaN 1981.042
1981 2 NaN 1981.125
1981 3 NaN 1981.208
1981 4 NaN 1981.292
1981 5 NaN 1981.375
1981 6 NaN 1981.458
1981 7 NaN 1981.542
1981 8 NaN 1981.625
1981 9 NaN 1981.708
1981 10 NaN 1981.792
1981 11 NaN 1981.875
1981 12 NaN 1981.958
1982 1 NaN 1982.042
1982 2 NaN 1982.125
1982 3 NaN 1982.208
1982 4 NaN 1982.292
1982 5 NaN 1982.375
1982 6 NaN 1982.458
1982 7 NaN 1982.542
1982 8 NaN 1982.625
1982 9 NaN 1982.708
1982 10 NaN 1982.792
1982 11 NaN 1982.875
1982 12 NaN 1982.958
1983 1 NaN 1983.042
1983 2 NaN 1983.125
1983 3 NaN 1983.208
1983 4 NaN 1983.292
1983 5 NaN 1983.375
1983 6 NaN 1983.458
1983 7 NaN 1983.542
1983 8 NaN 1983.625
1983 9 NaN 1983.708
1983 10 NaN 1983.792
1983 11 NaN 1983.875
1983 12 NaN 1983.958
1984 1 NaN 1984.042
1984 2 NaN 1984.125
1984 3 NaN 1984.208
1984 4 NaN 1984.292
1984 5 NaN 1984.375
1984 6 NaN 1984.458
1984 7 NaN 1984.542
1984 8 NaN 1984.625
1984 9 NaN 1984.708
1984 10 NaN 1984.792
1984 11 NaN 1984.875
1984 12 NaN 1984.958
1985 1 NaN 1985.042
1985 2 NaN 1985.125
1985 3 NaN 1985.208
1985 4 NaN 1985.292
1985 5 NaN 1985.375
1985 6 NaN 1985.458
1985 7 NaN 1985.542
1985 8 NaN 1985.625
1985 9 NaN 1985.708
1985 10 NaN 1985.792
1985 11 NaN 1985.875
1985 12 NaN 1985.958
1986 1 NaN 1986.042
1986 2 NaN 1986.125
1986 3 NaN 1986.208
1986 4 NaN 1986.292
1986 5 NaN 1986.375
1986 6 NaN 1986.458
1986 7 NaN 1986.542
1986 8 NaN 1986.625
1986 9 NaN 1986.708
1986 10 NaN 1986.792
1986 11 NaN 1986.875
1986 12 NaN 1986.958
1987 1 NaN 1987.042
1987 2 NaN 1987.125
1987 3 NaN 1987.208
1987 4 NaN 1987.292
1987 5 NaN 1987.375
1987 6 NaN 1987.458
1987 7 NaN 1987.542
1987 8 NaN 1987.625
1987 9 NaN 1987.708
1987 10 NaN 1987.792
1987 12 NaN 1987.958
1988 1 NaN 1988.042
1988 2 NaN 1988.125
1988 3 NaN 1988.208
1988 4 NaN 1988.292
1988 5 NaN 1988.375
1988 6 NaN 1988.458
1988 7 NaN 1988.542
1988 8 NaN 1988.625
1988 9 NaN 1988.708
1988 10 NaN 1988.792
1988 11 NaN 1988.875
1988 12 NaN 1988.958
1989 1 NaN 1989.042
1989 2 NaN 1989.125
1989 3 NaN 1989.208
1989 4 NaN 1989.292
1989 5 NaN 1989.375
1989 6 NaN 1989.458
1989 7 NaN 1989.542
1989 8 NaN 1989.625
1989 9 NaN 1989.708
1989 10 NaN 1989.792
1989 11 NaN 1989.875
1989 12 NaN 1989.958
1990 1 NaN 1990.042
1990 2 NaN 1990.125
1990 3 NaN 1990.208
1990 4 NaN 1990.292
1990 5 NaN 1990.375
1990 6 NaN 1990.458
1990 7 NaN 1990.542
1990 8 NaN 1990.625
1990 9 NaN 1990.708
1990 10 NaN 1990.792
1990 11 NaN 1990.875
1990 12 NaN 1990.958
1991 1 NaN 1991.042
1991 2 NaN 1991.125
1991 3 NaN 1991.208
1991 4 NaN 1991.292
1991 5 NaN 1991.375
1991 6 NaN 1991.458
1991 7 NaN 1991.542
1991 8 NaN 1991.625
1991 9 NaN 1991.708
1991 10 NaN 1991.792
1991 11 NaN 1991.875
1991 12 NaN 1991.958
1992 1 353.342 1992.042
1992 2 353.1237 1992.125
1992 3 353.3075 1992.208
1992 4 353.6087 1992.292
1992 5 354.0863 1992.375
1992 6 354.3863 1992.458
1992 7 354.8417 1992.542
1992 8 355.215 1992.625
1992 9 355.4771 1992.708
1992 10 355.7983 1992.792
1992 11 355.2713 1992.875
1992 12 355.03 1992.958
1993 1 354.5213 1993.042
1993 2 354.075 1993.125
1993 3 354.449 1993.208
1993 4 354.785 1993.292
1993 5 354.925 1993.375
1993 6 354.9725 1993.458
1993 7 355.43 1993.542
1993 8 356.059 1993.625
1993 9 356.4033 1993.708
1993 10 356.61 1993.792
1993 11 356.3462 1993.875
1993 12 356.135 1993.958
1994 1 355.5875 1994.042
1994 2 355.7225 1994.125
1994 3 355.8025 1994.208
1994 4 355.9917 1994.292
1994 5 356.172 1994.375
1994 6 356.1975 1994.458
1994 7 356.255 1994.542
1994 8 357.1225 1994.625
1994 9 357.53 1994.708
1994 10 357.636 1994.792
1994 11 357.525 1994.875
1994 12 357.1342 1994.958
1995 1 356.6829 1995.042
1995 2 356.9633 1995.125
1995 3 357.095 1995.208
1995 4 357.96 1995.292
1995 5 358.38 1995.375
1995 6 358.2067 1995.458
1995 7 358.456 1995.542
1995 8 358.87 1995.625
1995 10 359.5983 1995.792
1995 11 359.631 1995.875
1995 12 358.9638 1995.958
1996 1 358.4433 1996.042
1996 2 358.7075 1996.125
1996 3 358.9825 1996.208
1996 4 359.109 1996.292
1996 5 359.5788 1996.375
1996 6 359.7163 1996.458
1996 7 359.9625 1996.542
1996 8 360.651 1996.625
1996 9 360.895 1996.708
1996 10 360.973 1996.792
1996 11 360.79 1996.875
1996 12 360.305 1996.958
1997 1 360.1643 1997.042
1997 2 360.0367 1997.125
1997 3 359.9383 1997.208
1997 4 360.66 1997.292
