%-------
%  /data/instrument/database_active/output/station_average/psa_av.csv
% From Archive Dated 08-Apr-2019 13:12:39
%
% Aspirated and Non-aspirated sample mean flask results for Station PSA
%
% Column 1 is the sample date in YYYY-MM-DD format. 
%
% Column 2 is the sample time in HH:MM format. 
%
% Column 3 is the date in decimal format. 
%
% Column 4 is a flag for identifying uncertainty in the reported sampling time.
%   All sampling date/times are nominally corrected to UTC. But in some cases
%   the relevant correction is uncertain due to incomplete information on the
%   original sample log sheets. In this case Column 8 gives the (assumed)
%   correction applied (in hours). The flag is otherwise set to "UTC" indicating
%   that the time is not uncertain.
%
% Column 5 is a 3-letter station identifier.
%
%
% Licor:  CO2 concentration (ppm) as measured on Licor; corrected for
%     non-linearity and primary drift
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% Siemens: CO2 concentration (ppm) as measured on Siemens; corrected for
%     non-linearity and primary drift
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% 44/28: CO2 concentration (ppm) as calculated from reduced ratio 40/28
%     on ISOPRIME; corrected for primary drift and interferences
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% Interf:  delta O2/N2 from interferometer; corrected for CO2 interference
%     and primary drift
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% 32/28; delta 32/28 (per meg) on ISOPRIME; corrected for primary drift
%     and interferences
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% 40/28: delta  40/28 (per meg) on ISOPRIME; corrected for primary drift
%     and interferences
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% APO: Atmospheric potential oxygen calculated from Siemens CO2 and Interferometer O2 as
%        APO =O2 + (1.1/0.20946)*(CO2-350) 
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
%
% Flasks with other flag values >0 have been rejected from sample mean for other reasons.
%
%
%     Date,  Time, T-Decimal,Zone,Sta,   Licor, N,  SD, Siemens, N,  SD,   44/28, N,  SD,  Interf, N,  SD,   32/28, N,  SD,   40/28, N,  SD,     APO, N,  SD
%-------
1996-09-06, 02:00, 1996.6806, UTC,PSA,     NaN, 0,0.00,  360.74, 2,0.06,     NaN, 0,0.00, -212.75, 2,4.69,     NaN, 0,0.00,     NaN, 0,0.00, -156.38, 4,4.75
1996-09-09, 09:38, 1996.6896, UTC,PSA,     NaN, 0,0.00,  360.73, 2,0.00,     NaN, 0,0.00, -205.39, 1,0.00,     NaN, 0,0.00,     NaN, 0,0.00, -149.04, 3,0.00
1996-09-20, 22:05, 1996.7211, UTC,PSA,     NaN, 0,0.00,  360.71, 3,0.05,     NaN, 0,0.00, -204.51, 3,1.45,     NaN, 0,0.00,     NaN, 0,0.00, -148.28, 6,1.50
1996-09-29, 20:53, 1996.7455, UTC,PSA,     NaN, 0,0.00,  360.92, 3,0.04,     NaN, 0,0.00, -207.32, 3,2.20,     NaN, 0,0.00,     NaN, 0,0.00, -149.95, 6,2.24
1996-10-08, 22:20, 1996.7703, UTC,PSA,     NaN, 0,0.00,  360.79, 3,0.02,     NaN, 0,0.00, -208.10, 3,0.28,     NaN, 0,0.00,     NaN, 0,0.00, -151.41, 6,0.29
1996-10-21, 19:40, 1996.8055, UTC,PSA,     NaN, 0,0.00,  360.75, 2,0.04,     NaN, 0,0.00, -213.06, 2,0.02,     NaN, 0,0.00,     NaN, 0,0.00, -156.58, 4,0.06
1996-11-08, 14:58, 1996.8542, UTC,PSA,     NaN, 0,0.00,  360.77, 2,0.03,     NaN, 0,0.00, -210.20, 2,0.04,     NaN, 0,0.00,     NaN, 0,0.00, -153.65, 4,0.06
1996-11-28, 03:15, 1996.9075, UTC,PSA,     NaN, 0,0.00,  360.67, 2,0.04,     NaN, 0,0.00, -195.26, 2,0.45,     NaN, 0,0.00,     NaN, 0,0.00, -139.20, 4,0.48
1996-12-06, 20:20, 1996.9313, UTC,PSA,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00, -178.31, 2,6.43,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 2,6.43
1996-12-28, 19:20, 1996.9913, UTC,PSA,     NaN, 0,0.00,  359.97, 2,0.24,     NaN, 0,0.00, -156.96, 2,5.95,     NaN, 0,0.00,     NaN, 0,0.00, -104.61, 4,6.19
