%-------
%  /data/instrument/database_active/output/station_average/spo_av.csv
% From Archive Dated 08-Apr-2019 13:12:39
%
% Aspirated and Non-aspirated sample mean flask results for Station SPO
%
% Column 1 is the sample date in YYYY-MM-DD format. 
%
% Column 2 is the sample time in HH:MM format. 
%
% Column 3 is the date in decimal format. 
%
% Column 4 is a flag for identifying uncertainty in the reported sampling time.
%   All sampling date/times are nominally corrected to UTC. But in some cases
%   the relevant correction is uncertain due to incomplete information on the
%   original sample log sheets. In this case Column 8 gives the (assumed)
%   correction applied (in hours). The flag is otherwise set to "UTC" indicating
%   that the time is not uncertain.
%
% Column 5 is a 3-letter station identifier.
%
%
% Licor:  CO2 concentration (ppm) as measured on Licor; corrected for
%     non-linearity and primary drift
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% Siemens: CO2 concentration (ppm) as measured on Siemens; corrected for
%     non-linearity and primary drift
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% 44/28: CO2 concentration (ppm) as calculated from reduced ratio 40/28
%     on ISOPRIME; corrected for primary drift and interferences
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% Interf:  delta O2/N2 from interferometer; corrected for CO2 interference
%     and primary drift
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% 32/28; delta 32/28 (per meg) on ISOPRIME; corrected for primary drift
%     and interferences
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% 40/28: delta  40/28 (per meg) on ISOPRIME; corrected for primary drift
%     and interferences
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
% APO: Atmospheric potential oxygen calculated from Siemens CO2 and Interferometer O2 as
%        APO =O2 + (1.1/0.20946)*(CO2-350) 
% N:   - Number of flasks retained in the average
% SD: Standard deviation of retained points in reported average
%
%
% Flasks with other flag values >0 have been rejected from sample mean for other reasons.
%
%
%     Date,  Time, T-Decimal,Zone,Sta,   Licor, N,  SD, Siemens, N,  SD,   44/28, N,  SD,  Interf, N,  SD,   32/28, N,  SD,   40/28, N,  SD,     APO, N,  SD
%-------
1991-11-13, 04:47, 1991.8663, UTC,SPO,     NaN, 0,0.00,  353.76, 3,0.04,     NaN, 0,0.00, -115.30, 3,0.53,     NaN, 0,0.00,     NaN, 0,0.00,  -95.53, 6,0.58
1991-12-14, 19:40, 1991.9529, UTC,SPO,     NaN, 0,0.00,  353.63, 2,0.00,     NaN, 0,0.00,  -91.47, 2,0.50,     NaN, 0,0.00,     NaN, 0,0.00,  -72.41, 4,0.50
1992-01-03, 20:15, 1992.0078, UTC,SPO,     NaN, 0,0.00,  353.44, 1,0.00,     NaN, 0,0.00,  -84.25, 1,0.00,     NaN, 0,0.00,     NaN, 0,0.00,  -66.18, 2,0.00
1992-11-17, 04:05, 1992.8775, UTC,SPO,     NaN, 0,0.00,  354.94, 3,0.05,     NaN, 0,0.00, -126.79, 3,1.65,     NaN, 0,0.00,     NaN, 0,0.00, -100.84, 6,1.70
1992-12-21, 06:52, 1992.9707, UTC,SPO,     NaN, 0,0.00,  354.67, 2,0.04,     NaN, 0,0.00, -102.06, 2,0.47,     NaN, 0,0.00,     NaN, 0,0.00,  -77.51, 4,0.50
1993-01-29, 00:29, 1993.0768, UTC,SPO,     NaN, 0,0.00,  354.42, 2,0.04,     NaN, 0,0.00,  -77.77, 2,1.29,     NaN, 0,0.00,     NaN, 0,0.00,  -54.53, 4,1.33
1993-03-16, 04:00, 1993.2032, UTC,SPO,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00,     NaN, 0,0.00
1993-04-15, 04:30, 1993.2854, UTC,SPO,     NaN, 0,0.00,  354.29, 2,0.00,     NaN, 0,0.00,  -86.61, 2,3.47,     NaN, 0,0.00,     NaN, 0,0.00,  -64.09, 4,3.47
1993-05-18, 23:45, 1993.3781, UTC,SPO,     NaN, 0,0.00,  354.48, 2,0.00,     NaN, 0,0.00, -104.37, 2,0.41,     NaN, 0,0.00,     NaN, 0,0.00,  -80.84, 4,0.41
1993-06-17, 12:43, 1993.4590, UTC,SPO,     NaN, 0,0.00,  354.63, 2,0.00,     NaN, 0,0.00, -115.13, 2,3.56,     NaN, 0,0.00,     NaN, 0,0.00,  -90.82, 4,3.56
1993-07-20, 00:23, 1993.5480, UTC,SPO,     NaN, 0,0.00,  355.14, 3,0.02,     NaN, 0,0.00, -125.93, 3,2.00,     NaN, 0,0.00,     NaN, 0,0.00,  -98.92, 6,2.02
1993-08-16, 08:20, 1993.6229, UTC,SPO,     NaN, 0,0.00,  355.60, 3,0.04,     NaN, 0,0.00, -137.90, 3,3.93,     NaN, 0,0.00,     NaN, 0,0.00, -108.49, 6,3.96
