alt2 min phase gs dist fb fuel lat lon hdg
9300 0 1 0 0 0 0 -89.9975 139.2728 25
9400 0.1666667 1 221.9163 0.6160131 5441.673 15.12418 -89.9882 180.7281 25
9500 0.1666667 1 222.2301 0.6168845 5435.399 15.10675 -89.97888 196.273 25
9600 0.1666667 1 222.5438 0.617756 5429.124 15.08932 -89.96955 206.0478 25
9700 0.1666667 1 222.8575 0.6186275 5422.85 15.0719 -89.9602 213.1976 25
9800 0.1666667 1 223.1712 0.6194989 5416.575 15.05447 -89.95084 218.8395 25
9900 0.1666667 1 223.485 0.6203704 5410.301 15.03704 -89.94147 223.5013 25
10000 0.1666667 1 223.7987 0.6212418 5404.026 15.01961 -89.93139 225.1719 355
10100 0.1666667 1 224.1124 0.6221133 5397.752 15.00218 -89.92176 222.4808 325
10200 0.1666667 1 224.4261 0.6229847 5391.477 14.98475 -89.91507 217.0281 301
10300 0.1666667 1 224.7399 0.6238562 5385.203 14.96732 -89.90971 211.1976 301
10400 0.1666667 1 225.0536 0.6247277 5378.928 14.94989 -89.90435 205.6958 301
10500 0.1666667 1 225.3673 0.6255991 5372.654 14.93246 -89.89898 200.4871 301
10600 0.1666667 1 225.681 0.6264706 5366.379 14.91503 -89.8936 195.5416 301
10700 0.1666667 1 225.9948 0.627342 5360.105 14.8976 -89.88822 190.8335 301
10800 0.1666667 1 226.3085 0.6282135 5353.83 14.88017 -89.8827 186.3816 308
10900 0.1666667 1 226.6222 0.629085 5347.556 14.86275 -89.87443 183.4139 336
11000 0.1666667 1 226.9359 0.6299564 5341.281 14.84532 -89.86483 181.5363 336
11100 0.1666667 1 227.2497 0.6308279 5335.007 14.82789 -89.85523 179.7851 336
11200 0.1666667 1 227.5634 0.6316993 5328.732 14.81046 -89.84561 178.1443 336
11300 0.1666667 1 227.8771 0.6325708 5322.458 14.79303 -89.83598 176.6005 336
11400 0.1666667 1 228.1908 0.6334423 5316.183 14.7756 -89.82633 175.143 336
11500 0.1666667 1 228.5046 0.6343137 5309.908 14.75817 -89.81667 173.7703 339
11600 0.1666667 1 228.8183 0.6351852 5303.634 14.74074 -89.80633 173.0991 350
11700 0.1666667 1 229.132 0.6360566 5297.359 14.72331 -89.79589 172.5687 350
11800 0.1666667 1 229.4458 0.6369281 5291.085 14.70588 -89.78543 172.0641 350
11900 0.1666667 1 229.7595 0.6377996 5284.81 14.68845 -89.77497 171.5828 350
12000 0.1666667 1 230.0732 0.638671 5278.536 14.67102 -89.76448 171.1228 350
12100 0.1666667 1 230.3869 0.6395425 5272.261 14.65359 -89.75399 170.6823 350
12200 0.1666667 1 230.7007 0.6404139 5265.987 14.63617 -89.74341 170.3597 354
12300 0.1666667 1 231.0144 0.6412854 5259.712 14.61874 -89.73278 170.1153 354
12400 0.1666667 1 231.3281 0.6421569 5253.438 14.60131 -89.72214 169.8801 354
12500 0.1666667 1 231.6418 0.6430283 5247.163 14.58388 -89.71148 169.6534 354
12600 0.1666667 1 231.9556 0.6438998 5240.889 14.56645 -89.70081 169.4346 354
12700 0.1666667 1 232.2693 0.6447712 5234.614 14.54902 -89.69012 169.2233 354
