alt2 min phase gs dist fb fuel lat lon hdg
123 0 1 0 0 0 0 -43.4864 172.5369 184
223 0.1666667 1 193.1258 0.5360392 6017.485 16.72366 -43.49531 172.536 184
323 0.1666667 1 193.4395 0.5369107 6011.21 16.70623 -43.50424 172.5352 184
423 0.1666667 1 193.7532 0.5377821 6004.936 16.6888 -43.51318 172.5343 184
523 0.1666667 1 194.0669 0.5386536 5998.661 16.67137 -43.52214 172.5335 184
623 0.1666667 1 194.3807 0.5395251 5992.387 16.65394 -43.53111 172.5326 184
723 0.1666667 1 194.6944 0.5403965 5986.112 16.63651 -43.54009 172.5317 184
823 0.1666667 1 195.0081 0.541268 5979.838 16.61908 -43.54909 172.5309 184
923 0.1666667 1 195.3218 0.5421394 5973.563 16.60166 -43.5581 172.53 184
1023 0.1666667 1 195.6356 0.5430109 5967.289 16.58423 -43.56713 172.5291 184
1123 0.1666667 1 195.9493 0.5438824 5961.014 16.5668 -43.57617 172.5282 184
1223 0.1666667 1 196.263 0.5447538 5954.74 16.54937 -43.58523 172.5274 184
1323 0.1666667 1 196.5767 0.5456253 5948.465 16.53194 -43.5943 172.5265 184
1423 0.1666667 1 196.8905 0.5464967 5942.191 16.51451 -43.60339 172.5256 184
1523 0.1666667 1 197.2042 0.5473682 5935.916 16.49708 -43.61249 172.5247 184
1623 0.1666667 1 197.5179 0.5482397 5929.642 16.47965 -43.6216 172.5239 184
1723 0.1666667 1 197.8316 0.5491111 5923.367 16.46222 -43.63073 172.523 184
1823 0.1666667 1 198.1454 0.5499826 5917.093 16.44479 -43.63988 172.5221 184
1923 0.1666667 1 198.4591 0.550854 5910.818 16.42736 -43.64904 172.5212 184
2023 0.1666667 1 198.7728 0.5517255 5904.544 16.40993 -43.65821 172.5203 184
2123 0.1666667 1 199.0865 0.5525969 5898.269 16.39251 -43.6674 172.5194 184
2223 0.1666667 1 199.4003 0.5534684 5891.995 16.37508 -43.6766 172.5185 184
2323 0.1666667 1 199.714 0.5543399 5885.72 16.35765 -43.68582 172.5176 184
2423 0.1666667 1 200.0277 0.5552113 5879.446 16.34022 -43.69505 172.5168 184
2523 0.1666667 1 200.3414 0.5560828 5873.171 16.32279 -43.70429 172.5159 184
2623 0.1666667 1 200.6552 0.5569542 5866.897 16.30536 -43.71355 172.515 184
2723 0.1666667 1 200.9689 0.5578257 5860.622 16.28793 -43.72283 172.5141 184
2823 0.1666667 1 201.2826 0.5586972 5854.348 16.2705 -43.73212 172.5132 184
2923 0.1666667 1 201.5963 0.5595686 5848.073 16.25307 -43.74142 172.5123 184
3023 0.1666667 1 201.9101 0.5604401 5841.799 16.23564 -43.75074 172.5114 184
3123 0.1666667 1 202.2238 0.5613115 5835.524 16.21821 -43.76007 172.5105 184
3223 0.1666667 1 202.5375 0.562183 5829.25 16.20078 -43.76942 172.5096 184
3323 0.1666667 1 202.8512 0.5630545 5822.975 16.18336 -43.77878 172.5087 184
3423 0.1666667 1 203.165 0.5639259 5816.701 16.16593 -43.78815 172.5077 184
3523 0.1666667 1 203.4787 0.5647974 5810.426 16.1485 -43.79754 172.5068 184
3623 0.1666667 1 203.7924 0.5656688 5804.152 16.13107 -43.80695 172.5059 184
3723 0.1666667 1 204.1061 0.5665403 5797.877 16.11364 -43.81637 172.505 184
3823 0.1666667 1 204.4199 0.5674118 5791.603 16.09621 -43.8258 172.5041 184
3923 0.1666667 1 204.7336 0.5682832 5785.328 16.07878 -43.83525 172.5032 184
4023 0.1666667 1 205.0473 0.5691547 5779.054 16.06135 -43.84471 172.5023 184
4123 0.1666667 1 205.361 0.5700261 5772.779 16.04392 -43.85419 172.5013 184
4223 0.1666667 1 205.6748 0.5708976 5766.505 16.02649 -43.86368 172.5004 184
4323 0.1666667 1 205.9885 0.5717691 5760.23 16.00906 -43.87319 172.4995 184
4423 0.1666667 1 206.3022 0.5726405 5753.956 15.99163 -43.88271 172.4986 184
4523 0.1666667 1 206.6159 0.573512 5747.681 15.9742 -43.89224 172.4977 184
4623 0.1666667 1 206.9297 0.5743834 5741.407 15.95678 -43.90179 172.4967 184
4723 0.1666667 1 207.2434 0.5752549 5735.132 15.93935 -43.91136 172.4958 184
4823 0.1666667 1 207.5571 0.5761264 5728.858 15.92192 -43.92094 172.4949 184
4923 0.1666667 1 207.8708 0.5769978 5722.583 15.90449 -43.93053 172.4939 184
5023 0.1666667 1 208.1846 0.5778693 5716.308 15.88706 -43.94014 172.493 184
5123 0.1666667 1 208.4983 0.5787407 5710.034 15.86963 -43.94976 172.4921 184
5223 0.1666667 1 208.812 0.5796122 5703.759 15.8522 -43.9594 172.4911 184
5323 0.1666667 1 209.1258 0.5804837 5697.485 15.83477 -43.96905 172.4902 184
5423 0.1666667 1 209.4395 0.5813551 5691.21 15.81734 -43.97871 172.4893 184
5523 0.1666667 1 209.7532 0.5822266 5684.936 15.79991 -43.98839 172.4883 184
5623 0.1666667 1 210.0669 0.583098 5678.661 15.78248 -43.99809 172.4874 184
5723 0.1666667 1 210.3807 0.5839695 5672.387 15.76505 -44.0078 172.4864 184
5823 0.1666667 1 210.6944 0.584841 5666.112 15.74763 -44.01752 172.4855 184
5923 0.1666667 1 211.0081 0.5857124 5659.838 15.7302 -44.02726 172.4845 184
6023 0.1666667 1 211.3218 0.5865839 5653.563 15.71277 -44.03701 172.4836 184
6123 0.1666667 1 211.6356 0.5874553 5647.289 15.69534 -44.04678 172.4826 184
6223 0.1666667 1 211.9493 0.5883268 5641.014 15.67791 -44.05655 172.4815 185
6323 0.1666667 1 212.263 0.5891983 5634.74 15.66048 -44.06633 172.4803 185
6423 0.1666667 1 212.5767 0.5900697 5628.465 15.64305 -44.07613 172.4791 185
6523 0.1666667 1 212.8905 0.5909412 5622.191 15.62562 -44.08594 172.4779 185
6623 0.1666667 1 213.2042 0.5918126 5615.916 15.60819 -44.09576 172.4767 185
6723 0.1666667 1 213.5179 0.5926841 5609.642 15.59076 -44.1056 172.4755 185
6823 0.1666667 1 213.8316 0.5935556 5603.367 15.57333 -44.11546 172.4743 185
6923 0.1666667 1 214.1454 0.594427 5597.093 15.5559 -44.12533 172.4731 185
