alt2 min phase gs dist fb fuel lat lon hdg
1 0 1 0 0 0 0 -77.8539 166.4686 6
101 0.1666667 1 192.743 0.534976 6025.14 16.74492 -77.84503 166.473 6
201 0.1666667 1 193.0567 0.5358475 6018.865 16.72749 -77.83615 166.4775 6
301 0.1666667 1 193.3705 0.536719 6012.591 16.71007 -77.82725 166.4819 6
401 0.1666667 1 193.6842 0.5375904 6006.316 16.69264 -77.81834 166.4863 6
501 0.1666667 1 193.9979 0.5384619 6000.042 16.67521 -77.80942 166.4908 6
601 0.1666667 1 194.3116 0.5393333 5993.767 16.65778 -77.80048 166.4952 6
701 0.1666667 1 194.6254 0.5402048 5987.493 16.64035 -77.79152 166.4997 6
801 0.1666667 1 194.9391 0.5410763 5981.218 16.62292 -77.78256 166.5041 6
901 0.1666667 1 195.2528 0.5419477 5974.944 16.60549 -77.77357 166.5086 6
1001 0.1666667 1 195.5665 0.5428192 5968.669 16.58806 -77.76458 166.5131 6
1101 0.1666667 1 195.8803 0.5436906 5962.395 16.57063 -77.75556 166.5175 6
1201 0.1666667 1 196.194 0.5445621 5956.12 16.5532 -77.74654 166.522 6
1301 0.1666667 1 196.5077 0.5454336 5949.846 16.53577 -77.7375 166.5265 6
1401 0.1666667 1 196.8214 0.546305 5943.571 16.51834 -77.72844 166.531 6
1501 0.1666667 1 197.1352 0.5471765 5937.297 16.50092 -77.71937 166.5354 6
1601 0.1666667 1 197.4489 0.5480479 5931.022 16.48349 -77.71029 166.5399 6
1701 0.1666667 1 197.7626 0.5489194 5924.748 16.46606 -77.70119 166.5444 6
1801 0.1666667 1 198.0763 0.5497908 5918.473 16.44863 -77.69208 166.5489 6
1901 0.1666667 1 198.3901 0.5506623 5912.199 16.4312 -77.68295 166.5534 6
2001 0.1666667 1 198.7038 0.5515338 5905.924 16.41377 -77.67381 166.5579 6
2101 0.1666667 1 199.0175 0.5524052 5899.65 16.39634 -77.66465 166.5624 6
2201 0.1666667 1 199.3312 0.5532767 5893.375 16.37891 -77.65548 166.5669 6
2301 0.1666667 1 199.645 0.5541481 5887.101 16.36148 -77.64629 166.5714 6
2401 0.1666667 1 199.9587 0.5550196 5880.826 16.34405 -77.6371 166.576 6
2501 0.1666667 1 200.2724 0.5558911 5874.552 16.32662 -77.62788 166.5805 6
2601 0.1666667 1 200.5861 0.5567625 5868.277 16.30919 -77.61865 166.585 6
2701 0.1666667 1 200.8999 0.557634 5862.003 16.29176 -77.60941 166.5895 6
2801 0.1666667 1 201.2136 0.5585054 5855.728 16.27434 -77.60015 166.5941 6
2901 0.1666667 1 201.5273 0.5593769 5849.454 16.25691 -77.59088 166.5986 6
3001 0.1666667 1 201.841 0.5602484 5843.179 16.23948 -77.58159 166.6031 6
3101 0.1666667 1 202.1548 0.5611198 5836.905 16.22205 -77.57229 166.6077 6
3201 0.1666667 1 202.4685 0.5619913 5830.63 16.20462 -77.56298 166.6122 6
3301 0.1666667 1 202.7822 0.5628627 5824.356 16.18719 -77.55365 166.6168 6
3401 0.1666667 1 203.0959 0.5637342 5818.081 16.16976 -77.5443 166.6213 6
3501 0.1666667 1 203.4097 0.5646057 5811.807 16.15233 -77.53495 166.6259 6
3601 0.1666667 1 203.7234 0.5654771 5805.532 16.1349 -77.52557 166.6305 6
3701 0.1666667 1 204.0371 0.5663486 5799.258 16.11747 -77.51619 166.635 6
3801 0.1666667 1 204.3508 0.56722 5792.983 16.10004 -77.50678 166.6396 6
3901 0.1666667 1 204.6646 0.5680915 5786.708 16.08261 -77.49737 166.6442 6
4001 0.1666667 1 204.9783 0.568963 5780.434 16.06519 -77.48794 166.6488 6
4101 0.1666667 1 205.292 0.5698344 5774.159 16.04776 -77.47849 166.6533 6
4201 0.1666667 1 205.6058 0.5707059 5767.885 16.03033 -77.46903 166.6579 6
4301 0.1666667 1 205.9195 0.5715773 5761.61 16.0129 -77.45956 166.6625 6
4401 0.1666667 1 206.2332 0.5724488 5755.336 15.99547 -77.45007 166.6671 6
4501 0.1666667 1 206.5469 0.5733203 5749.061 15.97804 -77.44057 166.6717 6
4601 0.1666667 1 206.8607 0.5741917 5742.787 15.96061 -77.43105 166.6763 6
4701 0.1666667 1 207.1744 0.5750632 5736.512 15.94318 -77.42152 166.6809 6
4801 0.1666667 1 207.4881 0.5759346 5730.238 15.92575 -77.41197 166.6855 6
4901 0.1666667 1 207.8018 0.5768061 5723.963 15.90832 -77.40241 166.6901 6
5001 0.1666667 1 208.1156 0.5776776 5717.689 15.89089 -77.39283 166.6947 6
5101 0.1666667 1 208.4293 0.578549 5711.414 15.87346 -77.38324 166.6993 6
5201 0.1666667 1 208.743 0.5794205 5705.14 15.85603 -77.37364 166.704 6
