alt2 min phase gs dist fb fuel lat lon hdg
1 0 1 0 0 0 0 -77.8539 166.4686 182
101 0.1666667 1 192.743 0.534976 6025.14 16.74492 -77.86281 166.4671 182
201 0.1666667 1 193.0567 0.5358475 6018.865 16.72749 -77.87174 166.4656 182
301 0.1666667 1 193.3705 0.536719 6012.591 16.71007 -77.88068 166.4642 182
401 0.1666667 1 193.6842 0.5375904 6006.316 16.69264 -77.88963 166.4627 182
501 0.1666667 1 193.9979 0.5384619 6000.042 16.67521 -77.8986 166.4612 182
601 0.1666667 1 194.3116 0.5393333 5993.767 16.65778 -77.90758 166.4597 182
701 0.1666667 1 194.6254 0.5402048 5987.493 16.64035 -77.91658 166.4582 182
801 0.1666667 1 194.9391 0.5410763 5981.218 16.62292 -77.92559 166.4567 182
901 0.1666667 1 195.2528 0.5419477 5974.944 16.60549 -77.93462 166.4552 182
1001 0.1666667 1 195.5665 0.5428192 5968.669 16.58806 -77.94366 166.4536 182
1101 0.1666667 1 195.8803 0.5436906 5962.395 16.57063 -77.95272 166.4521 182
1201 0.1666667 1 196.194 0.5445621 5956.12 16.5532 -77.96179 166.4506 182
1301 0.1666667 1 196.5077 0.5454336 5949.846 16.53577 -77.97087 166.4491 182
1401 0.1666667 1 196.8214 0.546305 5943.571 16.51834 -77.97997 166.4476 182
1501 0.1666667 1 197.1352 0.5471765 5937.297 16.50092 -77.98909 166.446 182
1601 0.1666667 1 197.4489 0.5480479 5931.022 16.48349 -77.99822 166.4445 182
1701 0.1666667 1 197.7626 0.5489194 5924.748 16.46606 -78.00736 166.443 182
1801 0.1666667 1 198.0763 0.5497908 5918.473 16.44863 -78.01652 166.4414 182
1901 0.1666667 1 198.3901 0.5506623 5912.199 16.4312 -78.02569 166.4399 182
2001 0.1666667 1 198.7038 0.5515338 5905.924 16.41377 -78.03487 166.4383 182
2101 0.1666667 1 199.0175 0.5524052 5899.65 16.39634 -78.04408 166.4368 182
2201 0.1666667 1 199.3312 0.5532767 5893.375 16.37891 -78.05329 166.4352 182
2301 0.1666667 1 199.645 0.5541481 5887.101 16.36148 -78.06252 166.4337 182
2401 0.1666667 1 199.9587 0.5550196 5880.826 16.34405 -78.07177 166.4321 182
2501 0.1666667 1 200.2724 0.5558911 5874.552 16.32662 -78.08103 166.4306 182
2601 0.1666667 1 200.5861 0.5567625 5868.277 16.30919 -78.0903 166.429 182
2701 0.1666667 1 200.8999 0.557634 5862.003 16.29176 -78.09959 166.4274 182
2801 0.1666667 1 201.2136 0.5585054 5855.728 16.27434 -78.10889 166.4258 182
2901 0.1666667 1 201.5273 0.5593769 5849.454 16.25691 -78.11821 166.4243 182
3001 0.1666667 1 201.841 0.5602484 5843.179 16.23948 -78.12754 166.4227 182
3101 0.1666667 1 202.1548 0.5611198 5836.905 16.22205 -78.13689 166.4211 182
3201 0.1666667 1 202.4685 0.5619913 5830.63 16.20462 -78.14625 166.4195 182
3301 0.1666667 1 202.7822 0.5628627 5824.356 16.18719 -78.15562 166.4179 182
3401 0.1666667 1 203.0959 0.5637342 5818.081 16.16976 -78.16501 166.4163 182
3501 0.1666667 1 203.4097 0.5646057 5811.807 16.15233 -78.17442 166.4147 182
3601 0.1666667 1 203.7234 0.5654771 5805.532 16.1349 -78.18383 166.4131 182
3701 0.1666667 1 204.0371 0.5663486 5799.258 16.11747 -78.19327 166.4115 182
3801 0.1666667 1 204.3508 0.56722 5792.983 16.10004 -78.20272 166.4099 182
3901 0.1666667 1 204.6646 0.5680915 5786.708 16.08261 -78.21218 166.4083 182
4001 0.1666667 1 204.9783 0.568963 5780.434 16.06519 -78.22166 166.4066 182
4101 0.1666667 1 205.292 0.5698344 5774.159 16.04776 -78.23115 166.405 182
4201 0.1666667 1 205.6058 0.5707059 5767.885 16.03033 -78.24065 166.4034 182
4301 0.1666667 1 205.9195 0.5715773 5761.61 16.0129 -78.25017 166.4018 182
4401 0.1666667 1 206.2332 0.5724488 5755.336 15.99547 -78.25971 166.4001 182
4501 0.1666667 1 206.5469 0.5733203 5749.061 15.97804 -78.26926 166.3985 182
